ID,Area,Feature,SourceEvidence,TargetModule,TargetAsset,AutomatedCheck,ManualCheck,Status
WEAPON-003,Weapons,Pickup switch drop fade and outline,Pickup_Weapon.cs;WeaponController scripts,Player,Weapon Entity prefabs,PlayMode entity lifecycle test,MANUAL-PICKUP-DROP,implemented; automated evidence linked; manual pending
WEAPON-004,Weapons,Timed spawning active limit and weakness guarantee,WeaponControSystem.cs;WeaponControSystem_2.cs,Combat;Player,Spawner component;Weapon DataTable,EditMode spawn policy test,MANUAL-SPAWN,implemented; automated evidence linked; manual pending
WEAPON-005,Weapons,First-three weakness tips,source weapon/tutorial UI scripts,UI;Player,Battle HUD;Tutorial Form,PlayMode tutorial trigger test,MANUAL-FIRST-TIPS,implemented; automated evidence linked; manual pending
WEAPON-006,Weapons,Melee skill and projectile creation at animation events,HeroFrireSystem.cs;Assets/Game/Scripts/Skill,Player;Combat,Skill/Projectile Entities,PlayMode event-to-entity test,MANUAL-SKILLS,implemented; automated evidence linked; manual pending
ANIM-001,Animation,Hero Animator parameters retained,HeroController.cs;Animator Controllers,Player,Hero Animator,Animator parameter audit,MANUAL-HERO-ANIM,implemented; automated evidence linked; manual pending
ANIM-002,Animation,Hero animation events retained,Baseline/animation-events.csv,Player,AnimationEventBridge,Animation Event receiver audit,MANUAL-HERO-EVENTS,implemented; automated evidence linked; manual pending
ANIM-003,Animation,Skill animation events retained,Baseline/animation-events.csv,Player,SkillAnimationEventBridge,Animation Event receiver audit,MANUAL-SKILL-EVENTS,implemented; automated evidence linked; manual pending
ANIM-004,Animation,StateMachineBehaviours EnterAnimStateEvent RestXuli Xuli,source Anim scripts;Controller references,Player,Animator Controllers,Serialized reference audit,MANUAL-STATE-BEHAVIOUR,implemented; automated evidence linked; manual pending
COMBAT-001,Combat,Damage request retains attacker weapon point and parm,I_Damage.cs,Combat,DamageRequest,EditMode contract test,MANUAL-DAMAGE-CONTEXT,implemented; automated evidence linked; manual pending
COMBAT-002,Combat,Matching-color boss damage only,Boss controllers;DamageHPColor scripts,Combat,Boss battle contexts,EditMode match/mismatch tests,MANUAL-COLOR-DAMAGE,implemented; automated evidence linked; manual pending
COMBAT-003,Combat,Hit effects and Cinemachine impulses,HitFX/skill scripts;Cinemachine references,Player;Presentation,FX Entities;Impulse sources,PlayMode impulse test,MANUAL-HIT-FX,implemented; automated evidence linked; manual pending
BOSS1-001,Boss1,Eleven shuffled segments red4 green3 purple4,Boss1 HP/color scripts,Combat;Bosses,Boss1 DataTable/context,EditMode distribution test,MANUAL-BOSS1-HP,implemented; automated evidence linked; manual pending
BOSS1-002,Boss1,Three proximity zones and six attacks,Boss1_Controller.cs;Boss1Anim.cs,Bosses,Boss1 state machine;Spine adapter,EditMode selection matrix,MANUAL-BOSS1-ATTACKS,implemented; automated evidence linked; manual pending
BOSS1-003,Boss1,Spine events and attack sounds,Boss1Anim.cs;Boss1SoundManager.cs;Spine JSON,Bosses;Presentation,Boss1 Spine adapter;Sound table,Spine listener audit,MANUAL-BOSS1-EVENTS,implemented; automated evidence linked; manual pending
BOSS1-004,Boss1,Attack5 temporary invulnerability and weakpoint dim,Boss1_Controller.cs;UI scripts,Bosses;UI,Boss1 context;HUD,EditMode/PlayMode immunity test,MANUAL-BOSS1-ATTACK5,implemented; automated evidence linked; manual pending
BOSS1-005,Boss1,Hit visuals HP UI and victory to Boss2,Boss1 controller/UI/scene flow,Bosses;UI;Bootstrap,Boss1 scene;Battle HUD,PlayMode final-hit route test,MANUAL-BOSS1-VICTORY,implemented; automated evidence linked; manual pending
BOSS2-001,Boss2,Fifteen shuffled segments r4 g4 p4 orange3,Boss2 HP/color scripts,Combat;Bosses,Boss2 DataTable/context,EditMode distribution test,MANUAL-BOSS2-HP,implemented; automated evidence linked; manual pending
BOSS2-002,Boss2,Head and tail controllers coordinate,Boss2_Controller.cs;Boss2_Controller_w.cs,Bosses,Boss2 contexts;Spine adapters,EditMode transition tests,MANUAL-BOSS2-HEAD-TAIL,implemented; automated evidence linked; manual pending
BOSS2-003,Boss2,Burrow relocate trail and resurfacing,Boss2 controller/skills,Bosses;Presentation,Boss2 scene;FX Entities,PlayMode burrow lifecycle test,MANUAL-BOSS2-BURROW,implemented; automated evidence linked; manual pending
BOSS2-004,Boss2,Melee/projectile choice by distance and facing,Boss2_Controller.cs,Bosses,Boss2 state machine,EditMode decision matrix,MANUAL-BOSS2-CHOICE,implemented; automated evidence linked; manual pending
BOSS2-005,Boss2,Tail activates below 12 HP,Boss2_Controller_w.cs,Bosses,Boss2 tail context,EditMode threshold test,MANUAL-BOSS2-TAIL,implemented; automated evidence linked; manual pending
BOSS2-006,Boss2,Projectile patterns and landing markers,Boss2 skill scripts,Bosses;Player/Entities,Boss2 Skill Entities,PlayMode pattern/lifecycle test,MANUAL-BOSS2-SKILLS,implemented; automated evidence linked; manual pending
BOSS2-007,Boss2,Final result returns menu,Boss2 controller/UI flow,Bosses;UI;Bootstrap,Result Form,PlayMode final route test,MANUAL-BOSS2-RESULT,implemented; automated evidence linked; manual pending
UI-001,HUD,Current and next seven weaknesses with animated tip,source boss UI scripts,UI,Battle HUD,Presenter projection test,MANUAL-HUD-WEAKNESS,implemented; automated evidence linked; manual pending
UI-002,HUD,Weapon icon cursor and charge tip,Hero_XuliTip.cs;weapon UI scripts,UI,Battle HUD,Presenter mapping test,MANUAL-HUD-WEAPON,implemented; automated evidence linked; manual pending
UI-003,HUD,Damage flash pause victory defeat result,source UI scripts;Esc prefab,UI,Gameplay Forms,PlayMode form lifecycle test,MANUAL-GAME-FORMS,implemented; automated evidence linked; manual pending
MEDIA-001,Audio,BGM UI player boss and environment cue set,62 WAV;source sound managers,Presentation/Sound,Sound DataTable;groups,Sound mapping audit,MANUAL-AUDIO,implemented; automated evidence linked; manual pending
MEDIA-002,World,Grass animation and footstep override,XiaoCao.cs;movement audio code,Presentation/World,Grass scene objects,PlayMode enter/exit test,MANUAL-GRASS,implemented; automated evidence linked; manual pending
MEDIA-003,Camera,Parallax CameraShow,CameraShow.cs,Presentation/Camera,Scene camera layers,PlayMode parallax test,MANUAL-PARALLAX,implemented; automated evidence linked; manual pending
MEDIA-004,Camera,Cinemachine distance size confiner impulse and death camera,HeroCamera_.cs;scene Cinemachine components,Presentation/Camera,Cinemachine assets,PlayMode camera tests,MANUAL-CAMERA,implemented; automated evidence linked; manual pending
RENDER-001,Rendering,URP rendering for all three scenes,source Built-in vs target URP settings,Presentation/Rendering,URP assets,Shader/material scan,MANUAL-URP-SCENES,implemented; automated evidence linked; manual pending
RENDER-002,Rendering,Eleven Boss Spine materials preserve appearance,Baseline/materials.csv,Presentation/Rendering,Spine URP materials,Material/shader audit,MANUAL-SPINE-MATERIALS,implemented; automated evidence linked; manual pending

